Date,Time,MC%,Drop,Co_9-16_mm
3/21/2019,1:45,9.1,4,
3/21/2019,3:45,9.2,4.33,
3/21/2019,5:45,9.7,4.75,
3/21/2019,5:45,9.3,5.08,
3/21/2019,5:45,9.7,4.75,
3/21/2019,7:45,8.6,3.67,
3/21/2019,7:45,9,3.25,
3/21/2019,7:45,8.8,3.17,
3/21/2019,9:45,8.7,3.08,
3/21/2019,9:45,8.9,3.67,
3/21/2019,10:30,,,
3/21/2019,11:45,9.1,2.58,
3/21/2019,11:45,9,2.83,
3/21/2019,13:45,9.1,3.92,
3/21/2019,15:45,9,2.75,
3/21/2019,15:45,9.1,3.42,
3/21/2019,17:45,9.1,3.67,
3/21/2019,17:45,9.3,4.08,
3/21/2019,17:45,9,4,
3/21/2019,19:45,8.7,2.08,
3/21/2019,19:45,8.8,2.5,
3/22/2019,1:45,9.2,5.17,
3/22/2019,1:45,9.2,5.5,
3/22/2019,3:45,9.2,4.42,
3/22/2019,3:45,8.9,4.67,
3/22/2019,3:45,8.8,4.17,
3/22/2019,5:45,9.1,4.92,
3/22/2019,5:45,9.2,4.58,
3/22/2019,5:45,9.6,4.92,
3/22/2019,9:30,9,3.33,
3/22/2019,9:30,9.2,2.67,
3/22/2019,9:30,9.1,4.25,
3/22/2019,13:45,9,4.5,
3/22/2019,15:45,8.7,3.42,
3/22/2019,17:45,9,3.17,
3/22/2019,19:45,9.1,3.75,
3/22/2019,19:45,9.2,3.92,
3/22/2019,19:45,9.2,3.75,
3/23/2019,1:45,9.3,4.25,
3/23/2019,3:45,9.2,3.5,
3/23/2019,3:45,9,3.58,
3/23/2019,3:45,8.8,2.92,
3/23/2019,3:45,8.8,3.08,
3/23/2019,9:45,8.9,4.5,
3/21/2019,1:45,9.1,3.75,
3/21/2019,1:45,9.1,4.33,
3/21/2019,3:45,9.3,5.67,
3/21/2019,3:45,9.1,4.75,
3/21/2019,3:45,9.3,4.67,
3/21/2019,7:45,9,4.08,
3/21/2019,9:45,8.8,2.92,
3/21/2019,10:30,,,
3/21/2019,11:45,9.2,2.83,
3/21/2019,13:45,9,3.83,
3/21/2019,13:45,9.1,3.83,
3/21/2019,13:45,8.9,3.58,
3/21/2019,15:45,9.1,3.42,
3/21/2019,17:45,9.1,3.5,
3/21/2019,19:45,8.8,2.42,
3/21/2019,21:45,8.8,3.33,
3/21/2019,21:45,9,3.67,
3/21/2019,23:45,9.1,4.25,
3/21/2019,23:45,9.1,3.83,
3/21/2019,23:45,9.1,3.08,
3/22/2019,1:45,9.3,5.5,
3/22/2019,5:45,9,4.75,
3/22/2019,7:45,8.8,2.42,
3/22/2019,7:45,8.7,2.33,
3/22/2019,11:45,9.3,4.5,
3/22/2019,11:45,9.3,5.33,
3/22/2019,11:45,9.5,5.67,
3/22/2019,13:45,9.1,4.17,
3/22/2019,15:45,8.8,4.17,
3/22/2019,15:45,8.8,3.08,
3/22/2019,17:45,9,3.08,
3/22/2019,17:45,9,2.92,
3/22/2019,19:45,9.2,4.33,
3/22/2019,21:45,9.3,5.92,
3/22/2019,21:45,9.4,6.08,
3/22/2019,23:45,9.6,4.5,
3/22/2019,23:45,9.4,4.75,
3/22/2019,23:45,9.3,4.17,
3/23/2019,1:45,9,4,
3/23/2019,1:45,9,4,
3/23/2019,1:45,9,3.67,
3/23/2019,5:45,9.2,5.17,
3/23/2019,5:45,9,6.67,
3/23/2019,7:45,8.8,4.17,
3/21/2019,1:45,9.3,3.5,
3/21/2019,5:45,9.6,4.5,
3/21/2019,13:45,8.9,3.75,
3/21/2019,13:45,9.1,3.75,
3/21/2019,15:45,9.2,3.25,
3/21/2019,15:45,9.4,2.58,
3/21/2019,19:45,8.7,2.42,
3/21/2019,19:45,8.8,2.42,
3/21/2019,19:45,8.9,2.67,
3/21/2019,21:45,8.9,3.33,
3/21/2019,23:45,9.1,4.75,
3/22/2019,1:45,9.3,4.67,
3/22/2019,1:45,9.7,4.67,
3/22/2019,1:45,9.2,4.92,
3/22/2019,3:45,9.4,5.67,
3/22/2019,3:45,8.8,5.08,
3/22/2019,7:45,9.1,3.33,
3/22/2019,7:45,9,3,
3/22/2019,7:45,8.7,3,
3/22/2019,9:30,9.1,4.5,
3/22/2019,11:45,9.1,5.67,
3/22/2019,15:45,8.8,3.67,
3/22/2019,15:45,8.9,3.17,
3/22/2019,15:45,8.9,4,
3/22/2019,17:45,8.7,3,
3/22/2019,17:45,8.8,2.83,
3/22/2019,17:45,8.6,2.58,
3/22/2019,21:45,9,6.58,
3/22/2019,23:45,9.2,3.67,
3/23/2019,3:45,9.1,4.17,
3/23/2019,5:45,9.7,6.25,
3/23/2019,7:45,8.7,4.83,
3/23/2019,9:45,8.8,4.08,
3/23/2019,9:45,8.6,4.25,
3/23/2019,11:45,9,5.5,
3/23/2019,11:45,9.3,3.42,
3/23/2019,13:45,9,5.42,
3/23/2019,13:45,9.1,5,
3/23/2019,13:45,9,4.83,
3/23/2019,16:10,8.8,6.17,
